Index,Time[d.s],logKs_T(15)_S(17)_EvLim(20),logKs_T(15)_S(33)_EvLim(20),logKs_T(30)_S(17)_EvLim(20),logKs_T(30)_S(33)_EvLim(20)
57455,737992.0593826834,5.049655382003506,5.06984149879187,5.367453203649693,4.012664212272801
57457,737992.2440845158,5.049655382003506,5.06984149879187,5.367453203649693,4.012664212272801
57472,737992.7682760023,5.061606047167405,5.061858963147064,5.368508530668793,4.049957957136341
57478,737993.1553345859,5.092907458685463,5.092907458685463,4.791877463021482,5.435794355737933
57480,737993.1729655428,5.071612170851051,5.101478975267368,4.742455694378904,4.181427180578536
57492,737994.1896057958,5.095597647137823,5.094416543263051,4.784094729885433,4.79568125553194
57494,737994.5338560814,5.090201026292553,5.09047542597308,4.783775823458331,4.780886286658094
57509,737995.0689529878,5.090201026292553,5.09047542597308,4.783775823458331,4.780886286658094
57512,737995.1557607341,5.057951658691708,4.477407939097382,4.741831521524163,4.184872930467029
57525,737995.96410044,5.100790051559752,5.046785783813146,4.748210689763057,4.752873764066275
57588,737998.4560794128,5.095905966204562,5.100676742016638,4.794875970540581,4.799646746352658
57591,737998.9732645671,5.097338140305661,5.099838927535994,4.805957549734304,4.798808931872013
57606,737999.856494843,5.08890023295571,4.450230856756035,4.754806405729006,4.149200861092054
57678,738003.6453697138,5.098385502622895,4.481850422860099,4.792747404839933,4.180820427196117
57679,738003.7204783078,5.09237807322025,4.441664370591864,4.786338602176921,4.140634374927883
57687,738003.9173179602,4.227061477935813,4.415898250321699,3.9260314822718314,4.746273529416822
57698,738004.4663966576,4.227061477935813,4.415898250321699,3.9260314822718314,4.746273529416822
57704,738004.547801519,4.227061477935813,4.415898250321699,3.9260314822718314,4.746273529416822
57705,738004.5509704892,4.450584563253209,5.079818781324464,4.149554567589227,4.744150823933533
57727,738005.481762994,4.32161865991478,5.1154881013636695,4.020588664250798,4.814458105699688
57728,738005.5043457695,4.32161865991478,5.1154881013636695,4.020588664250798,4.814458105699688
57750,738006.4736800316,4.489921211547804,4.391305299226403,4.758813708185662,4.127398565455446
57781,738007.5260941056,4.477714448518638,4.265907473736183,4.756380969428539,4.176525707325724
57785,738007.6403903196,4.487533083929993,4.278916783453,4.790892352558606,4.185801200339093
57786,738007.7318552291,4.419496736471368,4.262508524997974,4.788665034364142,4.176647112927057
57799,738008.2129654711,4.419496736471368,4.262508524997974,4.788665034364142,4.176647112927057
57820,738008.8667081884,4.427238696619809,4.250866820485445,4.795137579186154,4.1870042020584926
57862,738010.0214530033,4.421632832316768,4.234945760844439,4.752703783263594,4.19895912047279
57879,738010.8528635202,4.420722366397965,4.339425799791087,4.790755745301646,4.059292193613943
57882,738010.9528819277,4.224192289593948,4.144244814161125,4.756958563421763,4.218918057685548
57925,738012.0498805922,4.224192289593948,4.144244814161125,4.756958563421763,4.218918057685548
57932,738012.2971139624,4.2295118498544975,4.229123908989846,4.783434057137944,3.935920265180819
57949,738012.7762268025,4.230837603833638,4.100510415749568,3.9316763659900302,4.2211942916045055
57970,738013.624329775,4.241348491590024,4.059481447339315,4.799855711753988,4.188250870369562
57971,738013.6626408325,4.236712826183915,4.0523420412392355,4.154631742520293,4.193335103171608
57972,738013.6946179427,4.236000022430244,4.057662442468891,4.178734519712525,4.201738930154818
57992,738014.8501169847,4.837538844639532,4.811221519634175,4.618112365214368,4.621081476856684
